PO_NUMBER,INVOICE_ID,INVOICE_NUM,SOURCE,INV_LINE_NUMBER,ACCOUNT_CODE,COMPANY_CODE,MIC,INVOICE_DATE,INVOICE_AMOUNT,TRAN_AMOUNT,EXTC,STATE,VENDOR_NAME,INVOICE_FR,FINAL_DESCRIPTION,PROJ_NUM,TAX_AMOUNT,TAX_TYPE,ACCOUNTING_DATE,NORAD_FLAG,DRIVERID,invoice_month,invoice_year
null,349470219,ERP0000079893687,71ERPAP,1,4130.55,SS00,,2023-01-16,34.8100000000,35,CYD,GA,FOR CUSTOMER,3494702191,Current Liab-Refunds-CAPM ERP-AP Clearing | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
null,349470278,ERP0000079893700,71ERPAP,1,4130.55,SS00,,2023-01-16,44.3700000000,44,CYD,GA,FOR CUSTOMER,3494702781,Current Liab-Refunds-CAPM ERP-AP Clearing | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
null,349470310,ERP0000079901463,71ERPAP,1,4130.55,SS00,,2023-01-17,46.1200000000,46,CYD,GA,FOR CUSTOMER,3494703101,Current Liab-Refunds-CAPM ERP-AP Clearing | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
null,349470355,ERP0000079901470,71ERPAP,1,4130.55,SS00,,2023-01-17,71.7900000000,72,CYD,GA,FOR CUSTOMER,3494703551,Current Liab-Refunds-CAPM ERP-AP Clearing | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
null,349470515,ERP0000079894259,71ERPAP,1,4130.55,SS00,,2023-01-16,86.3800000000,86,CYD,GA,FOR CUSTOMER,3494705151,Current Liab-Refunds-CAPM ERP-AP Clearing | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
null,349470761,ERP0000079900724,71ERPAP,1,4130.55,SS00,,2023-01-17,161.3700000000,161,CYD,GA,FOR CUSTOMER,3494707611,Current Liab-Refunds-CAPM ERP-AP Clearing | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
null,349471113,ERP0000079897838,71ERPAP,1,4130.55,SS00,,2023-01-16,80.1300000000,80,CYD,GA,FOR CUSTOMER,3494711131,Current Liab-Refunds-CAPM ERP-AP Clearing | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
null,349471299,ERP0000079902855,71ERPAP,1,4130.55,SS00,,2023-01-17,15.1200000000,15,CYD,GA,FOR CUSTOMER,3494712991,Current Liab-Refunds-CAPM ERP-AP Clearing | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
null,349471379,ERP0000079897825,71ERPAP,1,4130.55,SS00,,2023-01-16,524.1200000000,524,CYD,GA,FOR CUSTOMER,3494713791,Current Liab-Refunds-CAPM ERP-AP Clearing | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
null,349471454,ERP0000079907922,71ERPAP,1,4130.55,SS00,,2023-01-17,24.0000000000,24,CYD,GA,FOR CUSTOMER,3494714541,Current Liab-Refunds-CAPM ERP-AP Clearing | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
null,349471488,ERP0000079903176,71ERPAP,1,4130.55,SS00,,2023-01-17,33.1700000000,33,CYD,GA,FOR CUSTOMER,3494714881,Current Liab-Refunds-CAPM ERP-AP Clearing | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
null,349471489,ERP0000079898032,71ERPAP,1,4130.55,SS00,,2023-01-16,50.0600000000,50,CYD,GA,FOR CUSTOMER,3494714891,Current Liab-Refunds-CAPM ERP-AP Clearing | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
